2026-05-07 21:25:43 | DocProcessingActor | INFO | doc_actor.py:59 | [otran_aliang_final_config_tiktoken:DocProcessingActor] DocProcessingActor initialized
2026-05-07 21:25:43 | DocProcessingActor | INFO | doc_actor.py:59 | [otran_aliang_final_config_tiktoken:DocProcessingActor] DocProcessingActor initialized
2026-05-07 21:25:45 | DocProcessingActor | INFO | doc_actor.py:96 | [otran_aliang_final_config_tiktoken:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 21:25:45 | DocProcessingActor | INFO | doc_actor.py:107 | [otran_aliang_final_config_tiktoken:DocProcessingActor] Building document index...
2026-05-07 21:25:46 | DocProcessingActor | INFO | doc_actor.py:96 | [otran_aliang_final_config_tiktoken:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 21:25:46 | DocProcessingActor | INFO | doc_actor.py:107 | [otran_aliang_final_config_tiktoken:DocProcessingActor] Building document index...
2026-05-07 21:25:46 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:25:47 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:25:50 | DocProcessingActor | INFO | doc_actor.py:109 | [otran_aliang_final_config_tiktoken:DocProcessingActor] Document index built successfully
2026-05-07 21:25:50 | DocProcessingActor | INFO | doc_actor.py:134 | [otran_aliang_final_config_tiktoken:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-07 21:25:50 | DocProcessingActor | INFO | doc_actor.py:144 | [otran_aliang_final_config_tiktoken:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-05-07 21:25:50 | DocProcessingActor | INFO | doc_actor.py:189 | [otran_aliang_final_config_tiktoken:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-07 21:25:57 | DocProcessingActor | INFO | doc_actor.py:109 | [otran_aliang_final_config_tiktoken:DocProcessingActor] Document index built successfully
2026-05-07 21:25:57 | DocProcessingActor | INFO | doc_actor.py:134 | [otran_aliang_final_config_tiktoken:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-07 21:25:57 | DocProcessingActor | INFO | doc_actor.py:144 | [otran_aliang_final_config_tiktoken:DocProcessingActor] FAISS index serialized: 6271072 bytes
2026-05-07 21:25:57 | DocProcessingActor | INFO | doc_actor.py:189 | [otran_aliang_final_config_tiktoken:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-07 21:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [otran_aliang_final_config_tiktoken:QueryProcessingActor-0] Initializing new inference engine (config hash: 47eb85ee)
2026-05-07 21:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [otran_aliang_final_config_tiktoken:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [otran_aliang_final_config_tiktoken:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [otran_aliang_final_config_tiktoken:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 21:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [otran_aliang_final_config_tiktoken:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 21:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [otran_aliang_final_config_tiktoken:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 21:26:29 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:26:31 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [otran_aliang_final_config_tiktoken:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 21:26:32 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [otran_aliang_final_config_tiktoken:QueryProcessingActor-1] Initializing new inference engine (config hash: 47eb85ee)
2026-05-07 21:26:32 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [otran_aliang_final_config_tiktoken:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
