2026-05-04 14:37:49 | Experiment | INFO | experiment.py:165 | [api-gpt-oss-120b:Experiment] Experiment api-gpt-oss-120b created with Experiment ID: 14 at /home/ayliang/rapidfireai/rapidfire_experiments/api-gpt-oss-120b
2026-05-04 14:38:06 | Experiment | WARNING | metric_rfmetric_manager.py:57 | [api-gpt-oss-120b:Experiment] Failed to initialize MLflowMetricLogger: MLflow server not available at http://127.0.0.1:8852. MLflow logging will be disabled. MLflow logging is disabled.
2026-05-04 14:38:06 | Experiment | INFO | experiment.py:210 | [api-gpt-oss-120b:Experiment] Initialized MetricLogger experiment: api-gpt-oss-120b
2026-05-04 14:38:07 | Experiment | INFO | experiment.py:230 | [api-gpt-oss-120b:Experiment] Starting new dispatcher/api server at 127.0.0.1:8851.
2026-05-04 14:38:07 | Experiment | INFO | dispatcher.py:1121 | [api-gpt-oss-120b:Experiment] Started interactive control dispatcher on http://127.0.0.1:8851
2026-05-04 14:38:07 | Experiment | INFO | dispatcher.py:1122 | [api-gpt-oss-120b:Experiment] Use dispatcher API to dynamically stop/resume/delete/clone pipelines
2026-05-04 14:38:07 | Experiment | WARNING | experiment.py:381 | [api-gpt-oss-120b:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-04 14:38:07 | Experiment | INFO | experiment.py:383 | [api-gpt-oss-120b:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-04 14:38:07 | Experiment | INFO | experiment.py:392 | [api-gpt-oss-120b:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-04 14:38:07 | Controller | INFO | controller.py:895 | [api-gpt-oss-120b:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-04 14:38:07 | Controller | INFO | controller.py:900 | [api-gpt-oss-120b:Controller] Received 8 pipeline configuration(s)
2026-05-04 14:38:07 | Controller | INFO | controller.py:309 | [api-gpt-oss-120b:Controller] Found 2 unique RAG context(s)
2026-05-04 14:38:07 | Controller | INFO | controller.py:320 | [api-gpt-oss-120b:Controller] Will build new context 32182aed...
2026-05-04 14:38:07 | Controller | INFO | controller.py:320 | [api-gpt-oss-120b:Controller] Will build new context dc550a5f...
2026-05-04 14:38:07 | Controller | INFO | controller.py:346 | [api-gpt-oss-120b:Controller] Building 2 context(s) in parallel...
2026-05-04 14:38:07 | Controller | INFO | controller.py:373 | [api-gpt-oss-120b:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-04 14:38:09 | Controller | INFO | controller.py:461 | [api-gpt-oss-120b:Controller] Submitted 2 build task(s) in parallel
2026-05-04 14:38:30 | DocProcessingActor | INFO | doc_actor.py:59 | [api-gpt-oss-120b:DocProcessingActor] DocProcessingActor initialized
2026-05-04 14:38:30 | DocProcessingActor | INFO | doc_actor.py:59 | [api-gpt-oss-120b:DocProcessingActor] DocProcessingActor initialized
2026-05-04 14:38:32 | DocProcessingActor | INFO | doc_actor.py:96 | [api-gpt-oss-120b:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 14:38:32 | DocProcessingActor | INFO | doc_actor.py:107 | [api-gpt-oss-120b:DocProcessingActor] Building document index...
2026-05-04 14:38:32 | DocProcessingActor | INFO | doc_actor.py:96 | [api-gpt-oss-120b:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-04 14:38:32 | DocProcessingActor | INFO | doc_actor.py:107 | [api-gpt-oss-120b:DocProcessingActor] Building document index...
2026-05-04 14:38:32 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
